opportunity_id,account_id,rep_id,product_id,lead_id,create_date,close_date,activation_date,opp_stage,probability_percent,acv,nrr,tcv,won_lost_reason,discount_percent,margin_percent,contract_term_months,mrr,estimated_transaction_volume,implementation_cost,upsell_acv
OPP-00001,ACC-025,REP-114,PRD-014,LEAD-1161,2022-09-13,2023-03-11,,Qualify,0.1,247000,13000,754000.0,,0.35,0.78,36,20583.33,48788,39741,3279
OPP-00002,ACC-021,REP-118,PRD-007,LEAD-3137,2023-12-19,2024-01-21,,Qualify,0.1,32000,35000,99000.0,,0.34,0.39,24,2666.67,93467,35803,1263
OPP-00003,ACC-001,REP-055,PRD-004,LEAD-4499,2025-05-17,2025-10-06,,Demo,0.3,30000,4000,34000.0,,0.01,0.74,12,2500.0,81976,28978,1830
OPP-00004,ACC-016,REP-114,PRD-068,LEAD-6344,2024-11-03,2025-03-22,,Demo,0.3,69000,32000,101000.0,,0.49,0.36,12,5750.0,56119,32654,1633
OPP-00005,ACC-013,REP-126,PRD-015,,2022-11-08,2023-01-02,,Closed Lost,0.0,219000,12000,669000.0,Price,0.2,0.43,36,18250.0,42634,18081,2670
OPP-00006,ACC-003,REP-088,PRD-067,LEAD-3488,2024-12-20,2025-03-11,,Closed Lost,0.0,233000,35000,734000.0,Timing,0.27,0.62,36,19416.67,32599,48099,20184
OPP-00007,ACC-019,REP-085,PRD-002,LEAD-0775,2026-04-17,2026-09-26,,Closed Lost,0.0,39000,37000,76000.0,No Decision,0.21,0.72,12,3250.0,17748,21724,1317
OPP-00008,ACC-025,REP-014,PRD-013,LEAD-6959,2024-02-02,2024-07-11,,Qualify,0.1,28000,49000,105000.0,,0.19,0.68,24,2333.33,80743,31595,4224
OPP-00009,ACC-002,REP-116,PRD-056,LEAD-4149,2022-09-20,2023-03-17,,On Hold,0.1,245000,20000,510000.0,,0.2,0.74,24,20416.67,93942,16190,286
OPP-00010,ACC-009,REP-060,PRD-010,,2026-02-08,2026-07-15,,Negotiation,0.7,167000,2000,503000.0,,0.3,0.17,36,13916.67,15065,38642,4689
OPP-00011,ACC-019,REP-004,PRD-004,LEAD-1031,2025-06-29,2025-12-23,2026-02-06,Closed Won,1.0,243000,42000,771000.0,Features,0.32,0.56,36,20250.0,94025,12478,1647
OPP-00012,ACC-114,REP-051,PRD-014,LEAD-4925,2024-11-09,2025-01-04,,Qualify,0.1,81000,47000,128000.0,,0.29,0.22,12,6750.0,76682,19526,342
OPP-00013,ACC-022,REP-010,PRD-022,LEAD-1870,2023-01-20,2023-05-10,,Closed Lost,0.0,199000,49000,248000.0,Superior ROI,0.12,0.48,12,16583.33,59675,45523,4830
OPP-00014,ACC-066,REP-148,PRD-045,,2024-12-29,2025-05-07,2025-05-23,Closed Won,1.0,234000,4000,238000.0,No Decision,0.39,0.68,12,19500.0,3188,43445,4289
OPP-00015,ACC-019,REP-006,PRD-007,LEAD-4183,2023-10-13,2024-03-11,,Closed Lost,0.0,55000,26000,81000.0,Timing,0.08,0.63,12,4583.33,88098,14403,1592
OPP-00016,ACC-001,REP-063,PRD-009,LEAD-7189,2026-02-27,2026-07-21,,On Hold,0.1,6000,30000,36000.0,,0.17,0.32,12,500.0,11465,37105,3128
OPP-00017,ACC-060,REP-088,PRD-012,LEAD-3679,2024-10-27,2024-12-22,,Qualify,0.1,108000,28000,244000.0,,0.04,0.2,24,9000.0,93319,44574,462
OPP-00018,ACC-082,REP-136,PRD-002,,2025-12-16,2026-02-18,,Qualify,0.1,118000,20000,256000.0,,0.13,0.35,24,9833.33,82821,13170,1278
OPP-00019,ACC-015,REP-136,PRD-009,LEAD-4872,2024-03-30,2024-05-02,,Demo,0.3,228000,41000,269000.0,,0.13,0.52,12,19000.0,87820,12466,4004
OPP-00020,ACC-007,REP-107,PRD-010,LEAD-2120,2024-09-17,2025-02-13,,Qualify,0.1,183000,23000,206000.0,,0.35,0.32,12,15250.0,30999,30662,4720
OPP-00021,ACC-024,REP-137,PRD-069,LEAD-7013,2024-09-01,2024-12-30,2025-02-01,Closed Won,1.0,87000,8000,269000.0,Budget,0.21,0.69,36,7250.0,80107,38581,4245
OPP-00022,ACC-107,REP-111,PRD-019,LEAD-2046,2022-10-29,2023-04-10,,Negotiation,0.7,206000,14000,632000.0,,0.43,0.15,36,17166.67,61286,29037,30311
OPP-00023,ACC-023,REP-137,PRD-002,LEAD-4985,2024-03-07,2024-08-10,,Qualify,0.1,144000,12000,444000.0,,0.37,0.79,36,12000.0,77400,15636,3389
OPP-00024,ACC-041,REP-014,PRD-008,LEAD-5125,2024-04-30,2024-06-14,,Demo,0.3,81000,47000,290000.0,,0.45,0.36,36,6750.0,91197,16797,3508
OPP-00025,ACC-009,REP-036,PRD-014,LEAD-2630,2023-09-04,2024-02-28,,Demo,0.3,120000,3000,243000.0,,0.04,0.7,24,10000.0,45203,48347,2945
OPP-00026,ACC-064,REP-069,PRD-005,,2025-06-18,2025-08-21,2025-09-16,Closed Won,1.0,194000,9000,397000.0,Price,0.04,0.18,24,16166.67,69856,49984,1361
OPP-00027,ACC-101,REP-149,PRD-012,,2026-07-28,2026-10-07,,On Hold,0.1,250000,47000,547000.0,,0.24,0.61,24,20833.33,24575,15129,3095
OPP-00028,ACC-020,REP-121,PRD-015,LEAD-3637,2026-04-27,2026-07-19,,On Hold,0.1,197000,44000,241000.0,,0.21,0.17,12,16416.67,25800,9051,2286
OPP-00029,ACC-113,REP-001,PRD-020,,2026-05-01,2026-06-23,,On Hold,0.1,200000,25000,225000.0,,0.17,0.58,12,16666.67,33860,48994,36725
OPP-00030,ACC-012,REP-043,PRD-007,LEAD-7353,2023-03-14,2023-07-14,,Negotiation,0.7,140000,15000,155000.0,,0.13,0.1,12,11666.67,31440,23751,4416
OPP-00031,ACC-016,REP-003,PRD-005,LEAD-3660,2025-04-12,2025-06-21,,Closed Lost,0.0,153000,48000,507000.0,Competitor,0.48,0.35,36,12750.0,14141,28959,2480
OPP-00032,ACC-005,REP-016,PRD-005,LEAD-1415,2025-06-09,2025-10-28,,On Hold,0.1,222000,34000,478000.0,,0.45,0.32,24,18500.0,39295,41967,3003
OPP-00033,ACC-024,REP-045,PRD-041,LEAD-4724,2024-02-14,2024-03-27,,On Hold,0.1,48000,23000,167000.0,,0.22,0.46,36,4000.0,86336,42934,4409
OPP-00034,ACC-014,REP-076,PRD-006,LEAD-0845,2024-05-23,2024-08-15,2024-09-11,Closed Won,1.0,125000,10000,385000.0,Features,0.2,0.72,36,10416.67,68390,1935,4539
OPP-00035,ACC-022,REP-128,PRD-012,LEAD-0662,2023-12-16,2024-04-27,,Negotiation,0.7,166000,5000,337000.0,,0.4,0.27,24,13833.33,86458,47357,2326
OPP-00036,ACC-105,REP-100,PRD-002,LEAD-6297,2024-02-22,2024-03-31,,Demo,0.3,101000,27000,128000.0,,0.49,0.78,12,8416.67,69702,18964,802
OPP-00037,ACC-011,REP-117,PRD-001,LEAD-7590,2024-09-27,2025-01-13,,Qualify,0.1,223000,24000,247000.0,,0.08,0.5,12,18583.33,10955,7821,2713
OPP-00038,ACC-014,REP-012,PRD-077,LEAD-6475,2026-04-13,2026-09-24,2026-10-13,Closed Won,1.0,20000,11000,51000.0,Price,0.45,0.31,24,1666.67,78481,2152,3396
OPP-00039,ACC-018,REP-098,PRD-015,,2026-05-31,2026-09-23,,Demo,0.3,39000,19000,97000.0,,0.04,0.12,24,3250.0,51968,42057,867
OPP-00040,ACC-121,REP-038,PRD-052,,2025-06-22,2025-10-03,,Negotiation,0.7,115000,22000,137000.0,,0.44,0.74,12,9583.33,36888,11018,1809
OPP-00041,ACC-013,REP-118,PRD-023,LEAD-0555,2023-09-15,2024-03-09,,Demo,0.3,169000,0,507000.0,,0.23,0.22,36,14083.33,68608,25566,114
OPP-00042,ACC-101,REP-112,PRD-001,LEAD-2070,2022-11-17,2023-03-15,,On Hold,0.1,143000,21000,164000.0,,0.47,0.56,12,11916.67,16998,33742,3486
OPP-00043,ACC-033,REP-142,PRD-002,LEAD-2398,2023-02-24,2023-06-25,,Negotiation,0.7,197000,48000,639000.0,,0.09,0.1,36,16416.67,24580,34269,4611
OPP-00044,ACC-051,REP-091,PRD-005,LEAD-6921,2026-08-20,2026-10-07,,Negotiation,0.7,117000,25000,376000.0,,0.0,0.78,36,9750.0,21699,28332,36679
OPP-00045,ACC-073,REP-059,PRD-027,,2026-02-02,2026-05-28,,Qualify,0.1,39000,17000,134000.0,,0.46,0.14,36,3250.0,79746,20355,3909
OPP-00046,ACC-035,REP-102,PRD-004,,2024-02-18,2024-06-20,,Qualify,0.1,206000,15000,633000.0,,0.12,0.77,36,17166.67,39756,4098,2052
OPP-00047,ACC-014,REP-150,PRD-006,LEAD-1265,2026-05-22,2026-10-22,,On Hold,0.1,220000,46000,706000.0,,0.38,0.62,36,18333.33,3511,13522,4883
OPP-00048,ACC-011,REP-033,PRD-010,LEAD-0384,2023-10-25,2024-04-05,2024-05-05,Closed Won,1.0,136000,20000,156000.0,Features,0.17,0.14,12,11333.33,36701,44979,2013
OPP-00049,ACC-021,REP-143,PRD-044,LEAD-1732,2025-09-16,2025-11-12,,Negotiation,0.7,124000,31000,155000.0,,0.05,0.53,12,10333.33,64347,17589,965
OPP-00050,ACC-025,REP-065,PRD-011,,2024-03-31,2024-09-22,,Qualify,0.1,7000,1000,8000.0,,0.36,0.35,12,583.33,70189,45538,3968
OPP-00051,ACC-040,REP-097,PRD-011,LEAD-7747,2025-05-17,2025-10-29,2025-12-03,Closed Won,1.0,6000,28000,34000.0,Superior ROI,0.11,0.36,12,500.0,8608,20148,2278
OPP-00052,ACC-020,REP-054,PRD-005,LEAD-1261,2025-08-19,2025-09-19,,Closed Lost,0.0,96000,8000,296000.0,Features,0.34,0.51,36,8000.0,37967,1311,4233
OPP-00053,ACC-015,REP-085,PRD-004,LEAD-3614,2024-05-22,2024-09-22,,Qualify,0.1,100000,8000,308000.0,,0.46,0.39,36,8333.33,38967,37629,4978
OPP-00054,ACC-015,REP-081,PRD-012,LEAD-6834,2023-01-30,2023-06-18,,Demo,0.3,170000,35000,205000.0,,0.12,0.27,12,14166.67,51524,18539,3767
OPP-00055,ACC-040,REP-092,PRD-005,LEAD-3004,2023-06-09,2023-11-17,,Demo,0.3,39000,47000,164000.0,,0.44,0.38,36,3250.0,69408,43825,1713
OPP-00056,ACC-022,REP-061,PRD-013,LEAD-7087,2025-10-19,2026-01-05,,Demo,0.3,12000,5000,17000.0,,0.13,0.67,12,1000.0,65072,48173,3833
