affiliate_id,affiliate_name,region,affiliate_tier,avg_cycle_time_days,cancellation_rate
AFF-01,SolarTech,Northeast,Platinum,50,0.056
AFF-02,BrightFuture Solar,West,Platinum,37,0.061
AFF-03,SunCrafters,Southeast,Platinum,47,0.054
AFF-04,Apex Solar,Southwest,Platinum,31,0.051
AFF-05,GreenEnergy Pros,West,Platinum,37,0.075
AFF-06,EcoSun Installers,Southeast,Platinum,47,0.06
AFF-07,Radiant Power,Northeast,Platinum,37,0.072
AFF-08,NextGen Solar,Southwest,Platinum,30,0.088
AFF-09,BlueSky Energy,Southwest,Platinum,43,0.067
AFF-10,Peak Solar,Northeast,Platinum,36,0.098
AFF-11,Horizon Solar,West,Gold,54,0.118
AFF-12,ClearView Energy,Northeast,Gold,62,0.186
AFF-13,SunRise Installers,Southeast,Gold,76,0.114
AFF-14,Elite Solar,Southeast,Gold,68,0.121
AFF-15,Prime Power,Northeast,Gold,53,0.16
AFF-16,TerraSolar,West,Gold,69,0.127
AFF-17,Nova Energy,Northeast,Gold,52,0.17
AFF-18,Lumina Solar,West,Gold,53,0.187
AFF-19,Solstice Power,Northeast,Gold,63,0.135
AFF-20,Zenith Solar,Southwest,Gold,56,0.143
AFF-21,Vanguard Energy,West,Gold,72,0.134
AFF-22,Summit Solar,Southwest,Gold,70,0.167
AFF-23,Pioneer Power,Northeast,Gold,56,0.152
AFF-24,Evergreen Solar,Southwest,Gold,80,0.168
AFF-25,Infinity Energy,West,Gold,72,0.139
AFF-26,Quantum Solar,Northeast,Silver,95,0.284
AFF-27,Catalyst Power,Southwest,Silver,106,0.234
AFF-28,Synergy Solar,Northeast,Silver,117,0.289
AFF-29,Momentum Energy,Southeast,Silver,94,0.269
AFF-30,Velocity Solar,Southwest,Silver,110,0.223
AFF-31,Nexus Power,Northeast,Silver,96,0.277
AFF-32,Element Solar,Southeast,Silver,118,0.249
AFF-33,Optima Energy,Southwest,Silver,104,0.23
AFF-34,Paramount Solar,West,Silver,113,0.254
AFF-35,Sterling Power,Southwest,Silver,88,0.224
AFF-36,Titan Solar,Southeast,Silver,108,0.264
AFF-37,Atlas Energy,Southeast,Silver,105,0.264
AFF-38,Beacon Solar,West,Silver,114,0.233
AFF-39,Crest Power,Northeast,Silver,88,0.271
AFF-40,Dynamic Solar,Southeast,Silver,102,0.22
AFF-41,Eclipse Energy,Northeast,Silver,91,0.251
AFF-42,Frontier Solar,West,Silver,113,0.279
AFF-43,Genesis Power,Southwest,Silver,100,0.286
AFF-44,Halo Solar,Southwest,Silver,90,0.244
AFF-45,Ignite Energy,West,Silver,115,0.296
AFF-46,Kinetic Solar,West,Silver,119,0.239
AFF-47,Legacy Power,Northeast,Silver,88,0.294
AFF-48,Matrix Solar,West,Silver,96,0.215
AFF-49,Noble Energy,West,Silver,86,0.276
AFF-50,Orion Solar,Southwest,Silver,115,0.279
