lead_id,mql_source,bombora_surge_topic,lead_score,campaign_name,lead_status
LEAD-0001,Direct Mail,Network Security,58,Q3 Growth,Working
LEAD-0002,Direct Mail,Supply Chain Management,78,Q3 Growth,Nurturing
LEAD-0003,Paid Social,Fraud Prevention,71,Q2 Security,Working
LEAD-0004,Paid Social,Network Security,48,Q2 Transformation,Nurturing
LEAD-0005,Paid Social,DevOps Tools,36,FY Transformation,Qualified
LEAD-0006,Email Campaign,AI Automation,54,Q4 Transformation,Nurturing
LEAD-0007,Paid Social,Payment Processing,83,FY Security,Qualified
LEAD-0008,Referral,IoT Platforms,54,FY Efficiency,Working
LEAD-0009,Paid Social,Cloud Migration,46,FY Transformation,New
LEAD-0010,Email Campaign,Supply Chain Management,66,FY Growth,Nurturing
LEAD-0011,Direct Mail,Unified Communications,35,Q4 Transformation,Nurturing
LEAD-0012,Paid Social,Cybersecurity,23,Q4 Efficiency,Working
LEAD-0013,Organic Search,Cloud Migration,95,Q4 Security,Working
LEAD-0014,Organic Search,Cloud Migration,22,Q3 Innovation,Nurturing
LEAD-0015,Direct Mail,Payment Processing,97,FY Efficiency,Working
LEAD-0016,Webinar,Network Security,30,Q3 Innovation,Qualified
LEAD-0017,Direct Mail,Customer Experience,35,FY Efficiency,Nurturing
LEAD-0018,Email Campaign,Data Privacy,92,Q1 Security,New
LEAD-0019,Organic Search,Network Security,14,Q2 Growth,Qualified
LEAD-0020,Trade Show,Supply Chain Management,14,Q3 Transformation,Qualified
LEAD-0021,Trade Show,Supply Chain Management,47,Q1 Security,New
LEAD-0022,Paid Social,Fraud Prevention,87,Q1 Innovation,Nurturing
LEAD-0023,Paid Social,AI Automation,92,Q4 Transformation,Qualified
LEAD-0024,Trade Show,IoT Platforms,74,Q3 Efficiency,Nurturing
LEAD-0025,Organic Search,Big Data Analytics,24,Q3 Growth,Working
LEAD-0026,Direct Mail,Customer Experience,42,FY Transformation,Working
LEAD-0027,Webinar,DevOps Tools,53,Q2 Efficiency,Working
LEAD-0028,Trade Show,Fraud Prevention,91,Q3 Transformation,Qualified
LEAD-0029,Email Campaign,Payment Processing,61,FY Security,New
LEAD-0030,Trade Show,Cybersecurity,71,Q3 Growth,Working
LEAD-0031,Webinar,Data Privacy,59,Q2 Transformation,Qualified
LEAD-0032,Paid Social,ERP Integration,48,Q4 Innovation,New
LEAD-0033,Paid Social,Customer Experience,56,FY Transformation,Working
LEAD-0034,Webinar,Customer Experience,25,Q3 Efficiency,Nurturing
LEAD-0035,Trade Show,CRM Software,97,Q4 Security,Nurturing
LEAD-0036,Whitepaper,Customer Experience,47,Q3 Security,Working
LEAD-0037,Organic Search,Cybersecurity,71,Q1 Efficiency,Qualified
LEAD-0038,Email Campaign,CRM Software,99,Q4 Transformation,Qualified
LEAD-0039,Organic Search,Big Data Analytics,41,FY Security,New
LEAD-0040,Direct Mail,Network Security,100,Q3 Security,New
LEAD-0041,Whitepaper,Cloud Migration,80,Q4 Security,Working
LEAD-0042,Trade Show,Cybersecurity,51,Q4 Security,Qualified
LEAD-0043,Whitepaper,Customer Experience,36,FY Transformation,Qualified
LEAD-0044,Whitepaper,Supply Chain Management,75,Q3 Efficiency,New
LEAD-0045,Direct Mail,Cybersecurity,75,Q3 Innovation,Qualified
LEAD-0046,Webinar,Network Security,69,FY Security,Nurturing
LEAD-0047,Webinar,CRM Software,42,Q1 Growth,Working
LEAD-0048,Whitepaper,Cloud Migration,64,Q3 Security,New
LEAD-0049,Webinar,Supply Chain Management,18,Q4 Growth,New
LEAD-0050,Paid Social,CRM Software,33,FY Efficiency,Working
LEAD-0051,Referral,ERP Integration,58,Q3 Efficiency,Qualified
LEAD-0052,Referral,Payment Processing,97,FY Security,Working
LEAD-0053,Email Campaign,Payment Processing,32,Q4 Transformation,Qualified
LEAD-0054,Trade Show,DevOps Tools,38,Q1 Growth,New
LEAD-0055,Paid Social,AI Automation,96,FY Innovation,Qualified
LEAD-0056,Referral,IoT Platforms,39,Q2 Transformation,Qualified
LEAD-0057,Email Campaign,Cybersecurity,45,Q2 Security,New
LEAD-0058,Webinar,Big Data Analytics,94,Q3 Innovation,New
LEAD-0059,Organic Search,Unified Communications,18,Q1 Innovation,New
LEAD-0060,Direct Mail,Fraud Prevention,96,FY Transformation,New
LEAD-0061,Organic Search,DevOps Tools,15,Q3 Transformation,Qualified
LEAD-0062,Organic Search,Network Security,37,FY Efficiency,New
