account_id,account_name,parent_account,vertical,account_tier,churn_risk_status,contract_end_date,geography_id,csat_score,support_tickets_ytd
ACC-001,Global Technologies,Giga Conglomerate,Healthcare,Tier 3 - Commercial,Low,2026-08-03,GEO-031,54,8
ACC-002,Global Solutions,Mega Holdings,Technology,Tier 2 - Enterprise,High,2024-04-08,GEO-048,97,46
ACC-003,Global Systems,Super Holdings,Technology,Tier 3 - Commercial,Medium,2026-09-06,GEO-036,85,4
ACC-004,Global Networks,Macro Corporation,Finance,Tier 3 - Commercial,Medium,2026-08-21,GEO-049,77,3
ACC-005,Global Group,Tera Conglomerate,Manufacturing,Tier 2 - Enterprise,Low,2024-12-26,GEO-007,86,1
ACC-006,Apex Technologies,Mega Partners,Retail,Tier 1 - Strategic,Low,2026-05-17,GEO-007,72,6
ACC-007,Apex Solutions,Mega Enterprises,Finance,Tier 3 - Commercial,Low,2024-08-19,GEO-028,85,11
ACC-008,Apex Systems,Super Conglomerate,Finance,Tier 1 - Strategic,Low,2024-07-03,GEO-018,94,0
ACC-009,Apex Networks,Giga Enterprises,Technology,Tier 1 - Strategic,Medium,2026-06-09,GEO-010,86,10
ACC-010,Apex Group,Omni Partners,Healthcare,Tier 3 - Commercial,Low,2025-10-10,GEO-002,55,12
ACC-011,Summit Technologies,Giga Partners,Retail,Tier 2 - Enterprise,Low,2024-12-15,GEO-011,73,6
ACC-012,Summit Solutions,Pro Partners,Manufacturing,Tier 3 - Commercial,Medium,2024-03-27,GEO-004,59,10
ACC-013,Summit Systems,Super Partners,Technology,Tier 3 - Commercial,High,2024-03-24,GEO-018,78,44
ACC-014,Summit Networks,Hyper Corporation,Manufacturing,Tier 2 - Enterprise,Low,2025-02-28,GEO-018,63,13
ACC-015,Summit Group,Giga Enterprises,Retail,Tier 1 - Strategic,Low,2024-10-17,GEO-044,93,3
ACC-016,Prime Technologies,Hyper Conglomerate,Finance,Tier 1 - Strategic,Low,2024-08-13,GEO-026,88,15
ACC-017,Prime Solutions,Ultra Conglomerate,Finance,Tier 1 - Strategic,High,2026-02-24,GEO-009,98,20
ACC-018,Prime Systems,Giga Holdings,Technology,Tier 1 - Strategic,Medium,2025-05-24,GEO-048,77,9
ACC-019,Prime Networks,Giga Partners,Manufacturing,Tier 3 - Commercial,High,2024-08-23,GEO-033,85,24
ACC-020,Prime Group,Omni Partners,Retail,Tier 3 - Commercial,Low,2024-02-13,GEO-028,51,11
ACC-021,Nexus Technologies,Giga Holdings,Manufacturing,Tier 2 - Enterprise,Medium,2025-08-10,GEO-026,95,2
ACC-022,Nexus Solutions,Tera Conglomerate,Technology,Tier 2 - Enterprise,Low,2024-01-22,GEO-021,60,13
ACC-023,Nexus Systems,Maxi Partners,Finance,Tier 1 - Strategic,Low,2025-03-23,GEO-007,65,14
